FlowID,Pig,CD3+,gdTCR+,gdTCR-,CD4-CD8a+,CD4+CD8a+,CD4+CD8a-,NK Cells,CD21+,CD172+,Monocytes
Specimen_001 496_A1_A01_001.fcs,496,19.2,8.73,10.5,1.7,1.33,6.36,3.08,12,54.8,6.65
Specimen_002 498_A2_A02_002.fcs,498,22,4.49,17.5,2.37,2.5,11.8,0.82,4.39,55.9,11
Specimen_003 499_A3_A03_003.fcs,499,17.4,5.23,12.2,2.69,2.44,6.13,6.17,8.62,51.9,9.32
Specimen_004 500_A4_A04_004.fcs,500,12.7,3.61,9.09,1.44,1.6,5.5,1.63,4.29,77.6,7.16
Specimen_005 501_A5_A05_005.fcs,501,22.6,6.72,15.9,2.73,2.28,9.56,7.83,8.11,55.7,9.39
Specimen_006 502_A6_A06_006.fcs,502,30.5,6.86,23.7,3.68,3.32,15.3,1.73,7.3,50.2,10.3
Specimen_007 503_A7_A07_007.fcs,503,9.71,2.93,6.78,1.14,1.21,3.87,0.58,1.94,81.8,4.64
Specimen_008 504_A8_A08_008.fcs,504,16.9,4.27,12.6,1.77,1.11,8.87,1.37,3.1,68.3,7.3
Specimen_009 505_A9_A09_009.fcs,505,14,3.62,10.4,1.56,0.89,7.05,2.82,3.38,67.7,5.2
Specimen_010 506_A10_A10_010.fcs,506,24.7,7.77,17,2.03,2.05,12,4.71,7.24,58,8.77
Specimen_011 507_A11_A11_011.fcs,507,20.2,4.23,16,2.7,2.51,10.1,4.76,6.85,60,7.24
Specimen_012 508_A12_A12_012.fcs,508,4.18,0.98,3.2,0.48,0.72,1.7,0.62,2.48,83.5,9.19
Specimen_013 509_B1_B01_013.fcs,509,17.7,4.54,13.2,2.75,2.23,6.64,1.8,14.5,53.5,9.01
Specimen_014 510_B2_B02_014.fcs,510,6.77,2.2,4.58,0.69,0.61,2.89,0.88,2.06,88.1,6.55
Specimen_015 511_B3_B03_015.fcs,511,26.3,8.51,17.8,3.24,2.92,10.5,4.98,10,53.3,8.37
Specimen_016 512_B4_B04_016.fcs,512,22.9,8.26,14.7,2.3,1.81,9.01,2.04,10.4,49.1,14.3
Specimen_017 513_B5_B05_017.fcs,513,13.2,3.99,9.17,1.86,1.79,4.86,0.99,3.4,76.7,8.21
Specimen_018 514_B6_B06_018.fcs,514,19.5,8.48,11,2.21,1.3,6.96,3.42,5.3,45.5,4.04
Specimen_019 515_B7_B07_019.fcs,515,15.2,4.01,11.2,1.74,1.38,6.53,2.1,4.33,60.1,7.17
Specimen_020 516_B8_B08_020.fcs,516,9.07,4.3,4.77,0.92,1.03,2.32,0.99,2.49,79.2,5.47
Specimen_021 517_B9_B09_021.fcs,517,1.64,0.5,1.14,0.16,0.38,0.54,3.05,0.32,88.1,5.9
Specimen_022 518_B10_B10_022.fcs,518,23.5,7.02,16.5,2.59,1.65,11.4,1.98,4.78,61.6,5.78
Specimen_023 519_B11_B11_023.fcs,519,19.6,5.45,14.1,3.5,2.5,6.84,4.29,12.1,53.3,10.3
Specimen_024 520_B12_B12_024.fcs,520,13.4,4.14,9.24,2.52,1.25,4.65,2.76,5.87,74.4,5.12
Specimen_025 521_C1_C01_025.fcs,521,29.9,10.4,19.5,3.06,1.85,13,1.2,8.58,53.5,7.37
Specimen_026 522_C2_C02_026.fcs,522,14,7.3,6.67,1,0.95,3.89,2,2.79,42.5,5.98
Specimen_027 523_C3_C03_027.fcs,523,20.6,4.71,15.9,4.68,2.52,7.83,6.93,2.5,60.1,5.95
Specimen_028 524_C4_C04_028.fcs,524,19.7,8.55,11.1,2.07,2.07,6.23,1.3,3.26,58.5,9.59
Specimen_029 525_C5_C05_029.fcs,525,29.1,9.93,19.2,5.73,2.18,10,13.9,9.54,31.6,4.41
Specimen_030 527_C6_C06_030.fcs,527,14.9,5.61,9.25,1.42,1.91,5.24,0.95,7.47,69.2,7.74
Specimen_031 528_C7_C07_031.fcs,528,14.8,2.6,12.2,3.03,1.45,7.2,6.45,5.26,64.2,7.27
Specimen_032 529_C8_C08_032.fcs,529,20.5,4.18,16.3,3.06,1.56,9.75,4.43,8.02,55.3,9.04
Specimen_033 530_C9_C09_033.fcs,530,22.4,11.7,10.7,2.05,1.65,5.84,0.8,5.7,45.4,5.83
Specimen_034 531_C10_C10_034.fcs,531,20.2,7.53,12.6,2.78,1.4,7.25,4.83,11.1,59.8,6.91
Specimen_035 532_C11_C11_035.fcs,532,27.5,8.59,18.9,2.63,1.76,12.8,0.88,2.45,61.2,14.8
Specimen_036 537_C12_C12_036.fcs,537,5.36,2.4,2.96,0.48,0.49,1.34,0.36,1.25,83.5,5.16
Specimen_037 539_D1_D01_037.fcs,539,21,4.38,16.6,2.63,1.77,10.8,0.52,4.75,64.9,6.18
Specimen_038 540_D2_D02_038.fcs,540,17.2,6.36,10.9,1.56,1.82,6.57,0.69,3.04,62.9,6.85
Specimen_039 541_D3_D03_039.fcs,541,15.1,4.05,11.1,3,1.47,5.87,2.59,6.67,73.7,6.26
Specimen_040 542_D4_D04_040.fcs,542,28.7,7.16,21.5,3.34,1.96,15.1,5.41,8.89,50.6,8.47
Specimen_041 547_D5_D05_041.fcs,547,21.6,8.3,13.3,2.53,1.85,8.06,4.99,8.55,54.4,6.81
Specimen_042 548_D6_D06_042.fcs,548,34.5,9.54,25,4.46,3.04,16.4,1.27,2.94,48.6,2.59
Specimen_043 549_D7_D07_043.fcs,549,24.6,6.72,17.8,3.7,2.53,10.2,10.2,10.4,41.9,8.8
Specimen_044 550_D8_D08_044.fcs,550,22.4,6.47,15.9,3.64,2.66,8.35,2.75,7.83,56.9,7.37
Specimen_045 551_D9_D09_045.fcs,551,15.1,3.7,11.4,2.18,2.61,5.72,2.33,12.4,65.4,8.76
Specimen_046 552_D10_D10_046.fcs,552,21.8,5.82,16,2.7,1.53,10.8,2.8,8.5,62.5,8.33
Specimen_047 558_D11_D11_047.fcs,558,21.8,7.3,14.5,4.3,3.06,5.45,3.6,18.9,47.1,7.27
Specimen_048 559_D12_D12_048.fcs,559,19.9,4.01,15.8,2.83,2.15,9.95,1.69,2.12,68.9,7.38
